교육청명,교육지원청명,유치원코드,유치원명,설립유형,건축년도,건물층수,건물전용면적,대지총면적,공시차수,주소
서울특별시교육청,북부교육지원청,0c4bc461-9f36-4d28-94e3-3dfb9c6cd4e3,서울상계초등학교병설유치원,공립(병설),2017년,지상2층/ 지하0층,418㎡,9831㎡,20241,서울특별시 노원구 상계로9길 39
서울특별시교육청,북부교육지원청,1ecec08c-ed86-b044-e053-0a32095ab044,한울유치원,사립(사인),1999년,지상2층/ 지하1층,915㎡,694㎡,20211,서울특별시 노원구 덕릉로122길 12-6
서울특별시교육청,북부교육지원청,1ecec08c-ed88-b044-e053-0a32095ab044,효천유치원,사립(사인),1993년,지상2층/ 지하1층,400㎡,683㎡,20241,서울특별시 노원구 중계로18길 14
서울특별시교육청,북부교육지원청,1ecec08c-eed1-b044-e053-0a32095ab044,영은유치원,사립(사인),1987년,지상4층/ 지하1층,726㎡,726㎡,20201,서울특별시 노원구 동일로213길 78
서울특별시교육청,북부교육지원청,1ecec08c-ef26-b044-e053-0a32095ab044,키즈위즈유치원,사립(사인),2009년,지상2층/ 지하0층,643㎡,696㎡,20241,서울특별시 노원구 덕릉로86길 65
서울특별시교육청,북부교육지원청,1ecec08c-efcd-b044-e053-0a32095ab044,공릉 사라유치원,사립(사인),1995년,지상2층/ 지하1층,436㎡,376㎡,20241,서울특별시 노원구 동일로198가길 13
서울특별시교육청,북부교육지원청,1ecec08c-efce-b044-e053-0a32095ab044,상원유치원,사립(사인),1991년,지상2층/ 지하1층,850㎡,1372㎡,20241,서울특별시 노원구 노원로19길 33
서울특별시교육청,북부교육지원청,1ecec08c-efcf-b044-e053-0a32095ab044,서울수락초등학교병설유치원,공립(병설),1997년,지상4층/ 지하1층,374㎡,14662㎡,20241,서울특별시 노원구 동일로 1745
서울특별시교육청,북부교육지원청,1ecec08c-efd7-b044-e053-0a32095ab044,육사유치원,사립(사인),2012년,지상1층/ 지하0층,550㎡,920㎡,20241,서울특별시 노원구 화랑로 564
서울특별시교육청,북부교육지원청,1ecec08c-efd8-b044-e053-0a32095ab044,이레유치원,사립(사인),1995년,지상2층/ 지하1층,730㎡,1035㎡,20191,서울특별시 노원구 월계로55길 16
서울특별시교육청,북부교육지원청,1ecec08c-f082-b044-e053-0a32095ab044,온누리유치원,사립(사인),1989년,지상3층/ 지하0층,599㎡,299㎡,20241,서울특별시 노원구 동일로227길 47
서울특별시교육청,북부교육지원청,1ecec08c-f12b-b044-e053-0a32095ab044,꽃동산유치원,사립(법인),2006년,지상1층/ 지하0층,603㎡,502㎡,20241,서울특별시 노원구 공릉로 257
서울특별시교육청,북부교육지원청,1ecec08c-f200-b044-e053-0a32095ab044,학여울유치원,사립(사인),1998년,지상2층/ 지하0층,422㎡,408㎡,20241,서울특별시 노원구 동일로207길 186
서울특별시교육청,북부교육지원청,1ecec08c-f201-b044-e053-0a32095ab044,효자유치원,사립(사인),1986년,지상1층/ 지하1층,1060㎡,1693㎡,20241,서울특별시 노원구 마들로 111
서울특별시교육청,북부교육지원청,1ecec08c-f34f-b044-e053-0a32095ab044,보고유치원,사립(사인),1984년,지상2층/ 지하1층,436㎡,498㎡,20241,서울특별시 노원구 석계로13길 23-14
서울특별시교육청,북부교육지원청,1ecec08c-f405-b044-e053-0a32095ab044,대원유치원,사립(사인),1989년,지상2층/ 지하0층,240㎡,299㎡,20211,서울특별시 노원구 동일로228길 29
서울특별시교육청,북부교육지원청,1ecec08c-f406-b044-e053-0a32095ab044,보배유치원,사립(사인),1995년,지상2층/ 지하0층,464㎡,464㎡,20241,서울특별시 노원구 마들로3길 37
서울특별시교육청,북부교육지원청,1ecec08c-f412-b044-e053-0a32095ab044,우리유치원,사립(사인),1992년,지상2층/ 지하0층,646㎡,452㎡,20241,서울특별시 노원구 한글비석로 281
서울특별시교육청,북부교육지원청,1ecec08c-f413-b044-e053-0a32095ab044,초안유치원,사립(사인),1998년,지상2층/ 지하1층,580㎡,952㎡,20241,서울특별시 노원구 우이천로 102
서울특별시교육청,북부교육지원청,1ecec08c-f5d5-b044-e053-0a32095ab044,서울수암초등학교병설유치원,공립(병설),1999년,지상2층/ 지하0층,2049㎡,13380㎡,20241,서울특별시 노원구 중계로12길 9
서울특별시교육청,북부교육지원청,1ecec08c-f5f3-b044-e053-0a32095ab044,고운유치원,사립(사인),1991년,지상2층/ 지하0층,774㎡,1280㎡,20241,서울특별시 노원구 동일로208길 34
서울특별시교육청,북부교육지원청,1ecec08c-f5f4-b044-e053-0a32095ab044,까치유치원,사립(사인),1998년,지상3층/ 지하0층,925㎡,322㎡,20241,서울특별시 노원구 덕릉로79길 23
서울특별시교육청,북부교육지원청,1ecec08c-f658-b044-e053-0a32095ab044,동화나라유치원,사립(사인),2002년,지상2층/ 지하1층,785㎡,843㎡,20241,서울특별시 노원구 덕릉로 780
서울특별시교육청,북부교육지원청,1ecec08c-f80d-b044-e053-0a32095ab044,희산유치원,사립(사인),1988년,지상2층/ 지하1층,285㎡,315㎡,20181,서울특별시 노원구 덕릉로 459-18
서울특별시교육청,북부교육지원청,1ecec08c-fa85-b044-e053-0a32095ab044,공능유치원,사립(사인),1986년,지상3층/ 지하1층,615㎡,813㎡,20181,서울특별시 노원구 동일로186길 27
서울특별시교육청,북부교육지원청,1ecec08c-fc08-b044-e053-0a32095ab044,선덕유치원,사립(사인),1990년,지상2층/ 지하0층,600㎡,600㎡,20231,서울특별시 노원구 섬밭로 190
서울특별시교육청,북부교육지원청,1ecec08c-fc09-b044-e053-0a32095ab044,염광유치원,사립(법인),1979년,지상4층/ 지하1층,1640㎡,4716㎡,20211,서울특별시 노원구 월계로45가길 9
서울특별시교육청,북부교육지원청,1ecec08c-fc37-b044-e053-0a32095ab044,산내들유치원,사립(사인),1996년,지상2층/ 지하0층,349㎡,510㎡,20241,서울특별시 노원구 공릉로46길 32
서울특별시교육청,북부교육지원청,1ecec08c-fd0f-b044-e053-0a32095ab044,미광유치원,사립(사인),1999년,지상2층/ 지하1층,601㎡,653㎡,20241,서울특별시 노원구 공릉로34길 62
서울특별시교육청,북부교육지원청,1ecec08c-fd16-b044-e053-0a32095ab044,청암유치원,사립(사인),2005년,지상4층/ 지하1층,324㎡,12162㎡,20201,서울특별시 노원구 중계로 244
서울특별시교육청,북부교육지원청,1ecec08c-fd17-b044-e053-0a32095ab044,풍천유치원,사립(사인),1988년,지상3층/ 지하0층,622㎡,715㎡,20241,서울특별시 노원구 노원로 522
