"교육청명","교육지원청명","유치원코드","유치원명","설립유형","교실수","교실면적","체육장","보건/위생공간","조리실/급식공간","기타공간","공시차수","주소"
"서울특별시교육청","중부교육지원청","1ecec08c-f026-b044-e053-0a32095ab044","옥인유치원","사립(사인)","3개","269㎡","㎡","43㎡","13㎡","98㎡","20241","서울특별시 종로구 자하문로 69"
"서울특별시교육청","중부교육지원청","1ecec08c-f490-b044-e053-0a32095ab044","한아름유치원","사립(사인)","3개","132㎡","㎡","24㎡","13㎡","116㎡","20241","서울특별시 종로구 혜화로6가길 34"
"서울특별시교육청","중부교육지원청","1ecec08c-f550-b044-e053-0a32095ab044","서울혜화초등학교병설유치원","공립(병설)","2개","198㎡","66㎡","66㎡","378㎡","0㎡","20241","서울특별시 종로구 혜화로 32"
"서울특별시교육청","중부교육지원청","1ecec08c-f736-b044-e053-0a32095ab044","배화여자대학교 부속 배화유치원","사립(법인)","3개","225㎡","㎡","10㎡","10㎡","7㎡","20241","서울특별시 종로구 필운대로1길 34"
"서울특별시교육청","중부교육지원청","1ecec08c-f910-b044-e053-0a32095ab044","상명사대부속유치원","사립(법인)","0개","㎡","110㎡","5㎡","225㎡","88㎡","20241","서울특별시 종로구 홍지문2길 1"
"서울특별시교육청","중부교육지원청","1ecec08c-f912-b044-e053-0a32095ab044","서울재동초등학교병설유치원","공립(병설)","3개","203㎡","0㎡","62㎡","209㎡","154㎡","20241","서울특별시 종로구 북촌로4길 7"
"서울특별시교육청","중부교육지원청","754b5130-c93d-4df4-a9b9-526238f20cd2","서울청운초등학교병설유치원","공립(병설)","3개","203㎡","67㎡","23㎡","9㎡","193㎡","20241","서울특별시 종로구 자하문로 105"
"서울특별시교육청","강동송파교육지원청","1ecec08d-0eee-b044-e053-0a32095ab044","고덕한울유치원","사립(사인)","6개","325㎡","㎡","85㎡","20㎡","55㎡","20201","서울특별시 강동구 양재대로 1706"
"서울특별시교육청","중부교육지원청","1ecec08d-042a-b044-e053-0a32095ab044","계성유치원","사립(법인)","15개","810㎡","435㎡","75㎡","130㎡","647㎡","20241","서울특별시 용산구 효창원로15길 15"
"서울특별시교육청","중부교육지원청","1ecec08d-042b-b044-e053-0a32095ab044","대건유치원","사립(법인)","7개","401㎡","㎡","30㎡","27㎡","232㎡","20241","서울특별시 용산구 이촌로81길 38"
"서울특별시교육청","성북강북교육지원청","1ecec08d-02aa-b044-e053-0a32095ab044","한가람유치원","사립(사인)","10개","361㎡","㎡","62㎡","70㎡","137㎡","20241","서울특별시 성북구 서경로 166"
"서울특별시교육청","강서양천교육지원청","1ecec08d-05b8-b044-e053-0a32095ab044","등대유치원","사립(사인)","6개","375㎡","30㎡","50㎡","10㎡","225㎡","20241","서울특별시 양천구 목동동로12길 60"
"서울특별시교육청","강서양천교육지원청","1ecec08d-08bb-b044-e053-0a32095ab044","한서유치원","사립(사인)","7개","350㎡","㎡","40㎡","30㎡","201㎡","20241","서울특별시 양천구 목동동로 430"
"서울특별시교육청","중부교육지원청","1ecec08c-f933-b044-e053-0a32095ab044","청룡유치원","사립(사인)","2개","132㎡","㎡","42㎡","10㎡","98㎡","20231","서울특별시 종로구 동망산길 62"
"서울특별시교육청","중부교육지원청","1ecec08c-fd65-b044-e053-0a32095ab044","운현유치원","사립(법인)","4개","282㎡","㎡","49㎡","18㎡","33㎡","20241","서울특별시 종로구 삼일대로 460"
"서울특별시교육청","중부교육지원청","1ecec08c-fe52-b044-e053-0a32095ab044","서울창신초등학교병설유치원","공립(병설)","4개","264㎡","㎡","52㎡","33㎡","99㎡","20241","서울특별시 종로구 지봉로 73"
"서울특별시교육청","중부교육지원청","1ecec08d-008f-b044-e053-0a32095ab044","봄샘유치원","사립(법인)","3개","148㎡","107㎡","90㎡","9㎡","80㎡","20241","서울특별시 종로구 율곡로 264"
"서울특별시교육청","중부교육지원청","1ecec08d-0a25-b044-e053-0a32095ab044","서울명신초등학교병설유치원","공립(병설)","3개","203㎡","216㎡","180㎡","202㎡","68㎡","20241","서울특별시 종로구 낙산길 250"
"서울특별시교육청","중부교육지원청","1ecec08d-01a0-b044-e053-0a32095ab044","신동아큰나무유치원","사립(사인)","3개","234㎡","㎡","30㎡","10㎡","26㎡","20181","서울특별시 용산구 이촌로 347"
"서울특별시교육청","중부교육지원청","1ecec08d-0e82-b044-e053-0a32095ab044","성심유치원","사립(사인)","2개","243㎡","㎡","1㎡","0㎡","0㎡","20181","서울특별시 용산구 보광로24길 9-4"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f504-b044-e053-0a32095ab044","동인유치원","사립(사인)","2개","99㎡","109㎡","16㎡","0㎡","48㎡","20181","서울특별시 광진구 자양로30길 6"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f7d8-b044-e053-0a32095ab044","윤진유치원","사립(사인)","2개","115㎡","115㎡","0㎡","0㎡","4㎡","20181","서울특별시 광진구 아차산로21길 15"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0754-b044-e053-0a32095ab044","경하유치원","사립(사인)","3개","200㎡","㎡","18㎡","15㎡","6㎡","20181","서울특별시 광진구 동일로72길 9"
"서울특별시교육청","중부교육지원청","1ecec08d-0a26-b044-e053-0a32095ab044","세종유치원","사립(법인)","3개","219㎡","㎡","13㎡","21㎡","0㎡","20221","서울특별시 종로구 사직로8길 9"
"서울특별시교육청","중부교육지원청","1ecec08d-0602-b044-e053-0a32095ab044","하나유치원","사립(사인)","8개","539㎡","㎡","54㎡","55㎡","416㎡","20201","서울특별시 종로구 평창길 317"
"서울특별시교육청","중부교육지원청","1ecec08d-0e83-b044-e053-0a32095ab044","세검정유치원","사립(법인)","3개","427㎡","205㎡","30㎡","15㎡","227㎡","20241","서울특별시 종로구 자하문로 310"
"서울특별시교육청","중부교육지원청","1ecec08d-0eb5-b044-e053-0a32095ab044","혜화유치원","사립(법인)","13개","626㎡","266㎡","55㎡","26㎡","428㎡","20241","서울특별시 종로구 창경궁로 296"
"서울특별시교육청","중부교육지원청","c851dea0-e64a-451d-9007-da39e7ab705b","린덴바움유치원","사립(사인)","9개","694㎡","856㎡","0㎡","10㎡","118㎡","20241","서울특별시 종로구 통일로12길 51"
"서울특별시교육청","강서양천교육지원청","1ecec08d-08bc-b044-e053-0a32095ab044","해림유치원","사립(사인)","5개","461㎡","㎡","0㎡","10㎡","40㎡","20241","서울특별시 양천구 목동서로2길 22"
"서울특별시교육청","중부교육지원청","1ecec08c-f023-b044-e053-0a32095ab044","서울충무초등학교병설유치원","공립(병설)","5개","242㎡","㎡","37㎡","22㎡","0㎡","20241","서울특별시 중구 퇴계로50길 13"
"서울특별시교육청","중부교육지원청","1ecec08c-f025-b044-e053-0a32095ab044","영락유치원","사립(법인)","4개","261㎡","㎡","0㎡","6㎡","103㎡","20241","서울특별시 중구 수표로 33"
"서울특별시교육청","중부교육지원청","1ecec08c-f465-b044-e053-0a32095ab044","숭의여자대학교부설유치원","사립(법인)","3개","198㎡","㎡","19㎡","90㎡","249㎡","20241","서울특별시 중구 소파로2길 10"
"서울특별시교육청","중부교육지원청","1ecec08c-f734-b044-e053-0a32095ab044","가명유치원","사립(법인)","4개","229㎡","㎡","30㎡","36㎡","78㎡","20241","서울특별시 중구 청파로 447-1"
"서울특별시교육청","중부교육지원청","1ecec08c-f735-b044-e053-0a32095ab044","근화유치원","사립(법인)","4개","354㎡","㎡","9㎡","16㎡","220㎡","20241","서울특별시 중구 동호로20길 24"
"서울특별시교육청","중부교육지원청","1ecec08c-f911-b044-e053-0a32095ab044","서울덕수초등학교병설유치원","공립(병설)","5개","383㎡","㎡","53㎡","135㎡","211㎡","20241","서울특별시 중구 덕수궁길 140"
"서울특별시교육청","중부교육지원청","1ecec08c-fd64-b044-e053-0a32095ab044","서울장충유치원","공립(단설)","7개","554㎡","㎡","90㎡","33㎡","364㎡","20241","서울특별시 중구 청구로17길 40"
"서울특별시교육청","중부교육지원청","1ecec08c-ffe5-b044-e053-0a32095ab044","리라유치원","사립(법인)","9개","673㎡","㎡","41㎡","0㎡","273㎡","20241","서울특별시 중구 소파로2길 7"
"서울특별시교육청","중부교육지원청","1ecec08d-01a1-b044-e053-0a32095ab044","약수유치원","사립(사인)","10개","577㎡","121㎡","50㎡","23㎡","123㎡","20241","서울특별시 중구 동호로10길 30"
"서울특별시교육청","중부교육지원청","1ecec08d-05d4-b044-e053-0a32095ab044","신일유치원","사립(사인)","3개","1766㎡","㎡","180㎡","56㎡","358㎡","20241","서울특별시 중구 동호로10길 27"
"서울특별시교육청","중부교육지원청","1ecec08d-0603-b044-e053-0a32095ab044","한일유치원","사립(사인)","5개","687㎡","480㎡","47㎡","10㎡","0㎡","20241","서울특별시 중구 퇴계로88다길 5"
"서울특별시교육청","북부교육지원청","1ecec08d-008e-b044-e053-0a32095ab044","무지개유치원","사립(법인)","6개","644㎡","106㎡","32㎡","22㎡","13㎡","20241","서울특별시 노원구 덕릉로94가길 54"
"서울특별시교육청","중부교육지원청","1ecec08d-0a62-b044-e053-0a32095ab044","일신유치원","사립(법인)","0개","㎡","68㎡","10㎡","10㎡","33㎡","20221","서울특별시 중구 퇴계로6길 36"
"서울특별시교육청","중부교육지원청","1ecec08d-0e84-b044-e053-0a32095ab044","수암유치원","사립(사인)","14개","591㎡","151㎡","71㎡","44㎡","0㎡","20241","서울특별시 중구 다산로 32"
"서울특별시교육청","중부교육지원청","d2f53d6b-5999-4534-beb8-087e81f19824","서울광희초등학교병설유치원","공립(병설)","3개","270㎡","135㎡","67㎡","655㎡","0㎡","20241","서울특별시 중구 다산로 269"
"서울특별시교육청","중부교육지원청","1ecec08c-ee46-b044-e053-0a32095ab044","강변유치원","사립(법인)","4개","250㎡","135㎡","0㎡","300㎡","357㎡","20241","서울특별시 용산구 이촌로84길 9-7"
"서울특별시교육청","중부교육지원청","1ecec08c-f024-b044-e053-0a32095ab044","서울한남초등학교병설유치원","공립(병설)","3개","177㎡","50㎡","0㎡","0㎡","0㎡","20241","서울특별시 용산구 한남대로 112"
"서울특별시교육청","중부교육지원청","1ecec08c-f04b-b044-e053-0a32095ab044","충신유치원","사립(사인)","9개","543㎡","97㎡","77㎡","25㎡","415㎡","20241","서울특별시 용산구 이촌로71길 14"
"서울특별시교육청","중부교육지원청","1ecec08c-f48f-b044-e053-0a32095ab044","일민유치원","사립(사인)","6개","369㎡","㎡","106㎡","125㎡","190㎡","20241","서울특별시 용산구 효창원로 17"
"서울특별시교육청","중부교육지원청","1ecec08c-f913-b044-e053-0a32095ab044","원유치원","사립(사인)","10개","650㎡","㎡","14㎡","14㎡","50㎡","20241","서울특별시 용산구 이촌로81길 14"
"서울특별시교육청","중부교육지원청","1ecec08c-fd90-b044-e053-0a32095ab044","한가람유치원","사립(사인)","3개","194㎡","213㎡","27㎡","10㎡","119㎡","20241","서울특별시 용산구 이촌로89길 50"
"서울특별시교육청","중부교육지원청","1ecec08c-ffe4-b044-e053-0a32095ab044","도원유치원","사립(법인)","5개","252㎡","729㎡","34㎡","26㎡","26㎡","20241","서울특별시 용산구 새창로12길 11-8"
"서울특별시교육청","중부교육지원청","1ecec08d-019f-b044-e053-0a32095ab044","서울남정초등학교병설유치원","공립(병설)","3개","252㎡","476㎡","62㎡","564㎡","164㎡","20241","서울특별시 용산구 원효로64길 17-10"
"서울특별시교육청","성북강북교육지원청","9236ee2c-f1f2-4550-911b-4ee00ac5dc2d","서울좋은소리유치원분원","공립(단설)","4개","210㎡","㎡","0㎡","31㎡","320㎡","20241","서울특별시 성북구 숭인로 50"
"서울특별시교육청","중부교육지원청","1ecec08c-f932-b044-e053-0a32095ab044","유성유치원","사립(사인)","8개","517㎡","727㎡","57㎡","44㎡","940㎡","20181","서울특별시 용산구 회나무로13가길 16"
"서울특별시교육청","중부교육지원청","1ecec08c-fd8f-b044-e053-0a32095ab044","정우유치원","사립(법인)","3개","190㎡","127㎡","0㎡","34㎡","30㎡","20181","서울특별시 용산구 원효로 179"
"서울특별시교육청","동부교육지원청","1ecec08d-0ca9-b044-e053-0a32095ab044","빛나유치원","사립(법인)","3개","135㎡","51㎡","28㎡","5㎡","0㎡","20181","서울특별시 동대문구 전농로23길 47"
"서울특별시교육청","동부교육지원청","1ecec08c-fb77-b044-e053-0a32095ab044","나래유치원","사립(사인)","6개","490㎡","208㎡","24㎡","27㎡","0㎡","20181","서울특별시 중랑구 봉우재로41길 12"
"서울특별시교육청","동부교육지원청","1ecec08d-0374-b044-e053-0a32095ab044","세종유치원","사립(사인)","3개","120㎡","110㎡","10㎡","10㎡","10㎡","20181","서울특별시 중랑구 동일로 834"
"서울특별시교육청","중부교육지원청","1ecec08d-04dd-b044-e053-0a32095ab044","서울청파초등학교병설유치원","공립(병설)","3개","198㎡","66㎡","66㎡","0㎡","132㎡","20211","서울특별시 용산구 효창원로 228"
"서울특별시교육청","성북강북교육지원청","1ecec08c-f350-b044-e053-0a32095ab044","빛나라유치원","사립(사인)","6개","325㎡","92㎡","33㎡","44㎡","99㎡","20181","서울특별시 성북구 종암로9길 78"
"서울특별시교육청","성북강북교육지원청","1ecec08c-fff3-b044-e053-0a32095ab044","까망유치원","사립(사인)","2개","105㎡","㎡","0㎡","14㎡","50㎡","20181","서울특별시 성북구 장월로 102"
"서울특별시교육청","중부교육지원청","1ecec08d-0a24-b044-e053-0a32095ab044","복자유치원","사립(법인)","4개","222㎡","㎡","34㎡","35㎡","143㎡","20241","서울특별시 용산구 후암로34길 21-8"
"서울특별시교육청","성북강북교육지원청","1ecec08c-f9b8-b044-e053-0a32095ab044","아름유치원","사립(사인)","2개","132㎡","132㎡","33㎡","33㎡","0㎡","20181","서울특별시 강북구 도봉로 88"
"서울특별시교육청","성북강북교육지원청","1ecec08d-0250-b044-e053-0a32095ab044","경은유치원","사립(사인)","5개","275㎡","146㎡","56㎡","12㎡","111㎡","20181","서울특별시 강북구 노해로21길 12"
"서울특별시교육청","중부교육지원청","1ecec08d-0e80-b044-e053-0a32095ab044","서울서빙고초등학교병설유치원","공립(병설)","5개","308㎡","66㎡","45㎡","22㎡","233㎡","20241","서울특별시 용산구 서빙고로51길 14"
"서울특별시교육청","중부교육지원청","26f414fb-a8fb-4256-858e-5d2c7c1a37bf","서울청파유치원","공립(단설)","8개","580㎡","㎡","210㎡","248㎡","949㎡","20241","서울특별시 용산구 효창원로 228"
"서울특별시교육청","북부교육지원청","1ecec08c-f404-b044-e053-0a32095ab044","다솜유치원","사립(사인)","8개","442㎡","271㎡","37㎡","34㎡","209㎡","20181","서울특별시 도봉구 해등로 195"
"서울특별시교육청","북부교육지원청","1ecec08c-f54e-b044-e053-0a32095ab044","현대유치원","사립(사인)","3개","115㎡","㎡","5㎡","0㎡","12㎡","20181","서울특별시 도봉구 삼양로 574-38"
"서울특별시교육청","북부교육지원청","1ecec08d-0158-b044-e053-0a32095ab044","천사유치원","사립(사인)","9개","332㎡","㎡","42㎡","14㎡","24㎡","20181","서울특별시 도봉구 해등로26길 20"
"서울특별시교육청","성동광진교육지원청","1ecec08c-ed19-b044-e053-0a32095ab044","서울마장초등학교병설유치원","공립(병설)","4개","392㎡","70㎡","92㎡","205㎡","231㎡","20241","서울특별시 성동구 마장로35나길 31"
