"교육청명","교육지원청명","유치원코드","유치원명","설립유형","독립편성학급수","오후재편성학급수","운영시간","독립편성참여원아수","오후재편성참여원아수","정규교사수","기간제교사수","강사수","공시차수","주소"
"서울특별시교육청","남부교육지원청","006b5238-ce41-4471-9ee3-4df8d24b5141","서울정심초등학교병설유치원","공립(병설)","0","3","07시30분~19시30분","0","39","0","0","3","20241","서울특별시 금천구 독산로78다길 89"
"서울특별시교육청","강동송파교육지원청","009c017d-43bd-4d9f-ac64-d217abdd570e","서울솔방울유치원","공립(단설)","5","0","07시00분~20시00분","90","","0","3","2","20241","서울특별시 송파구 오금로24길 25"
"서울특별시교육청","강동송파교육지원청","04a021da-cdd7-4e7e-a434-2b388c2f6b63","란키즈유치원","사립(사인)","0","3","08시00분~18시30분","","76","3","0","0","20241","서울특별시 송파구 새말로8길 22-5"
"서울특별시교육청","동부교육지원청","0764f8c8-364c-495b-9fbc-b389148b7b4f","서울신현초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","","36","0","0","2","20241","서울특별시 중랑구 봉화산로 188"
"서울특별시교육청","동부교육지원청","076db651-036b-4bee-80ba-09f0edb4a57a","서울신묵초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","0","32","0","0","2","20241","서울특별시 중랑구 동일로149길 46"
"서울특별시교육청","서부교육지원청","0783b5eb-4c00-4161-9c47-664336825e5a","다우림유치원","사립(사인)","0","3","08시00분~20시00분","0","60","3","0","0","20221","서울특별시 은평구 증산로21길 22"
"서울특별시교육청","서부교육지원청","08d485cb-06c8-4964-bf03-ed1b178ef3fd","서울소의초등학교병설유치원","공립(병설)","0","2","07시00분~19시00분","0","32","0","0","2","20241","서울특별시 마포구 마포대로24길 42"
"서울특별시교육청","북부교육지원청","0c4bc461-9f36-4d28-94e3-3dfb9c6cd4e3","서울상계초등학교병설유치원","공립(병설)","0","1","07시30분~19시30분","0","12","0","0","2","20241","서울특별시 노원구 상계로9길 39"
"서울특별시교육청","강동송파교육지원청","0f7d2827-8bb2-4a0c-9926-77fca1f60a54","서울송파위례유치원","공립(단설)","0","5","07시00분~20시00분","","86","0","0","5","20241","서울특별시 송파구 위례송파로 121"
"서울특별시교육청","북부교육지원청","12c109c2-23b7-4e98-a3e1-57e391f3a55a","서울월천초등학교병설유치원","공립(병설)","0","2","07시00분~19시00분","0","36","0","0","2","20241","서울특별시 도봉구 노해로70길 96"
"서울특별시교육청","강남서초교육지원청","16f86a3d-1aa1-471d-bcd4-a563853f8658","서울신구유치원","공립(단설)","0","3","07시30분~19시30분","","54","0","0","3","20241","서울특별시 강남구 압구정로18길 28"
