"교육청명","교육지원청명","유치원코드","유치원명","설립유형","대표자명","원장명","설립일","개원일","주소","전화번호","홈페이지","운영시간","만3세학급수","만4세학급수","만5세학급수","혼합학급수","특수학급수","만3세유아수","만4세유아수","만5세유아수","혼합유아수","특수유아수","공시차수"
"서울특별시교육청","남부교육지원청","006b5238-ce41-4471-9ee3-4df8d24b5141","서울정심초등학교병설유치원","공립(병설)","전미정","전미정","20181116","20190314","서울특별시 금천구 독산로78다길 89","02-851-7792","http://www.jungshim.es.kr","07시30분~19시30분","1","1","1","0","1","13","10","18","0","4","20241"
"서울특별시교육청","강동송파교육지원청","009c017d-43bd-4d9f-ac64-d217abdd570e","서울솔방울유치원","공립(단설)","이수이","이수이","20210301","20210301","서울특별시 송파구 오금로24길 25","02-6481-6001","https://www.서울솔방울유치원.kr:497/home/","07시00분~20시00분","2","2","2","0","1","28","33","36","0","6","20241"
"서울특별시교육청","강동송파교육지원청","04a021da-cdd7-4e7e-a434-2b388c2f6b63","란키즈유치원","사립(사인)","송미화","송미화","20170307","20170307","서울특별시 송파구 새말로8길 22-5",".02-404-4045","","08시00분~18시30분","2","1","1","0","","35","18","27","0","","20241"
"서울특별시교육청","동부교육지원청","0764f8c8-364c-495b-9fbc-b389148b7b4f","서울신현초등학교병설유치원","공립(병설)","정순희","정순희","20201231","20210301","서울특별시 중랑구 봉화산로 188","02-6956-0147","http://shinhyun.sen.es.kr/","07시30분~19시30분","1","1","1","0","1","10","13","14","0","4","20241"
"서울특별시교육청","동부교육지원청","076db651-036b-4bee-80ba-09f0edb4a57a","서울신묵초등학교병설유치원","공립(병설)","김용석","김용석","20220301","20220301","서울특별시 중랑구 동일로149길 46","02-6951-5495","https://sinmook.sen.es.kr/","07시30분~19시30분","1","1","1","0","1","2","16","16","0","4","20241"
"서울특별시교육청","서부교육지원청","0783b5eb-4c00-4161-9c47-664336825e5a","다우림유치원","사립(사인)","김애리","김애리","20170330","20170401","서울특별시 은평구 증산로21길 22",".02-375-2237","","08시00분~20시00분","1","1","1","0","","13","28","16","0","","20222"
"서울특별시교육청","서부교육지원청","08d485cb-06c8-4964-bf03-ed1b178ef3fd","서울소의초등학교병설유치원","공립(병설)","홍명석","홍명석","20210301","20210308","서울특별시 마포구 마포대로24길 42","02-362-6512","http://soeui.sen.es.kr","07시00분~19시00분","1","1","1","0","","8","9","16","0","","20241"
"서울특별시교육청","북부교육지원청","0c4bc461-9f36-4d28-94e3-3dfb9c6cd4e3","서울상계초등학교병설유치원","공립(병설)","양인화","양인화","20170301","20170302","서울특별시 노원구 상계로9길 39","02-933-6888","https://sanggye.sen.es.kr","07시30분~19시30분","","1","1","0","","","2","10","0","","20241"
"서울특별시교육청","강동송파교육지원청","0f7d2827-8bb2-4a0c-9926-77fca1f60a54","서울송파위례유치원","공립(단설)","오경미","오경미","20220301","20220301","서울특별시 송파구 위례송파로 121","02-6952-6430","http://www.서울송파위례유치원.kr","07시00분~20시00분","2","2","3","0","1","28","36","44","0","2","20241"
"서울특별시교육청","북부교육지원청","12c109c2-23b7-4e98-a3e1-57e391f3a55a","서울월천초등학교병설유치원","공립(병설)","심수용","심수용","20220301","20220302","서울특별시 도봉구 노해로70길 96","029038020","https://wol.sen.es.kr","07시00분~19시00분","1","1","1","0","","12","11","19","0","","20241"
"서울특별시교육청","강남서초교육지원청","16f86a3d-1aa1-471d-bcd4-a563853f8658","서울신구유치원","공립(단설)","이혜주","이혜주","20170901","20170901","서울특별시 강남구 압구정로18길 28","02-3446-7480","http://서울신구유치원.kr/","07시30분~19시30분","1","2","2","0","1","14","20","23","0","3","20241"
"서울특별시교육청","강남서초교육지원청","18f5dfe2-27c7-47f3-af41-5a4a944a77fe","서울세명유치원","공립(단설)","한정희","한정희","20180104","20180301","서울특별시 강남구 자곡로 55","02-3411-0890","http://www.서울세명유치원.kr","07시30분~19시30분","1","2","2","0","1","13","36","40","0","5","20241"
"서울특별시교육청","강남서초교육지원청","196f00e6-793a-4f41-bcef-99bef725d1f3","한신유치원","사립(법인)","강용규","김은미","20170301","20170301","서울특별시 서초구 잠원로3길 31","02-593-3100","https://blog.naver.com/hanshinkindergarten","09시00분~17시00분","1","3","2","0","","26","61","53","0","","20241"
"서울특별시교육청","강서양천교육지원청","1dfcc6e7-c6ff-4843-b970-cfba072320b4","서울강월초등학교병설유치원","공립(병설)","류록희","류록희","20161229","20170309","서울특별시 양천구 신월로 97","02-2605-1702","http://gangwol.es.kr/","07시00분~19시00분","","","2","1","","","","12","1","","20232"
"서울특별시교육청","강남서초교육지원청","1ecec08c-ed13-b044-e053-0a32095ab044","강남유치원","사립(사인)","최병락","박춘옥","19850201","19850201","서울특별시 강남구 선릉로129길 31","02-546-1673","http://www.knk.or.kr","08시40분~17시40분","","1","2","0","","","21","55","0","","20202"
"서울특별시교육청","서부교육지원청","1ecec08c-ed16-b044-e053-0a32095ab044","서울연광초등학교병설유치원","공립(병설)","홍미애","홍미애","20040428","20040428","서울특별시 은평구 연서로35길 37","02-353-5977","http://www.yeonkwang.es.kr","07시30분~19시30분","1","1","1","0","","9","6","6","0","","20241"
"서울특별시교육청","강남서초교육지원청","1ecec08c-ed17-b044-e053-0a32095ab044","서울원명초등학교병설유치원","공립(병설)","이오표","이오표","20050415","20050504","서울특별시 서초구 고무래로 90-6","02-593-4490","http://www.wonmyong.es.kr/index/index.do","07시30분~19시30분","1","1","1","0","","14","19","21","0","","20241"
"서울특별시교육청","서부교육지원청","1ecec08c-ed18-b044-e053-0a32095ab044","홍익대학교사범대학부속유치원","사립(법인)","학교법인홍익학원","김형봉","19851109","19860301","서울특별시 마포구 성미산로 111","02-3140-1107","http://www.hiuk.kg.kr","09시00분~14시00분","3","2","2","0","","54","52","55","0","","20241"
"서울특별시교육청","성동광진교육지원청","1ecec08c-ed19-b044-e053-0a32095ab044","서울마장초등학교병설유치원","공립(병설)","장언경","장언경","20050301","20050301","서울특별시 성동구 마장로35나길 31","02-2282-2831","https://majang.sen.es.kr","07시30분~19시30분","1","1","1","0","","7","8","12","0","","20241"
"서울특별시교육청","강남서초교육지원청","1ecec08c-ed1c-b044-e053-0a32095ab044","서울우솔초등학교병설유치원","공립(병설)","채길자","채길자","20130109","20130301","서울특별시 서초구 양재대로2길 74","3463-9073","http://woosol.sen.es.kr","07시30분~19시30분","1","2","2","0","1","14","22","16","0","5","20241"
"서울특별시교육청","강남서초교육지원청","1ecec08c-ed1d-b044-e053-0a32095ab044","서울언주초등학교병설유치원","공립(병설)","안은숙","안은숙","20130301","20130314","서울특별시 강남구 남부순환로363길 19","02-3462-5280","http://www.eonju.es.kr","07시30분~19시30분","1","1","1","0","","15","17","24","0","","20241"
"서울특별시교육청","강남서초교육지원청","1ecec08c-ed1e-b044-e053-0a32095ab044","서울개원초등학교병설유치원","공립(병설)","신명숙","신명숙","20121227","20130301","서울특별시 강남구 선릉로 29","02-574-1231","http://www.gaewon.es.kr","07시30분~19시30분","1","1","2","0","1","8","15","39","0","4","20241"
"서울특별시교육청","동작관악교육지원청","1ecec08c-ed2b-b044-e053-0a32095ab044","한별유치원","사립(사인)","조항욱","조항욱","19830608","19830608","서울특별시 관악구 남부순환로144길 65","02-855-6659","http://www.hanbyeol.co.kr","08시00분~18시00분","2","1","2","0","","37","27","42","0","","20241"
"서울특별시교육청","남부교육지원청","1ecec08c-ed2e-b044-e053-0a32095ab044","서울백산초등학교병설유치원","공립(병설)","라종훈","라종훈","20001125","20010301","서울특별시 금천구 시흥대로38길 78","02-803-5883","http://backsan.sen.es.kr/112708/subMenu.do","07시00분~20시00분","1","1","1","0","","8","18","17","0","","20241"
"서울특별시교육청","남부교육지원청","1ecec08c-ed2f-b044-e053-0a32095ab044","서울아람유치원","사립(사인)","조임숙","조임숙","20030317","20030317","서울특별시 구로구 고척로25길 62","02-2612-3269","","09시00분~18시30분","1","1","1","0","","13","12","26","0","","20192"
"서울특별시교육청","남부교육지원청","1ecec08c-ed30-b044-e053-0a32095ab044","성모유치원","사립(법인)","장정화","장정화","19560309","19560309","서울특별시 영등포구 가마산로89길 7","02-842-2903","http://cafe.daum.net/ntdsm","09시50분~18시00분","1","2","2","0","","23","38","51","0","","20241"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ed7f-b044-e053-0a32095ab044","새서울유치원","사립(사인)","이상옥","이상옥","19871101","19871101","서울특별시 양천구 목동서로 340","02-2646-1100","http://www.새서울유치원.com","08시00분~18시00분","2","1","1","0","","20","11","14","0","","20241"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ed80-b044-e053-0a32095ab044","샘터유치원","사립(사인)","유재웅","김두임","19880517","19880517","서울특별시 양천구 신월로 99","02-2691-1424","","08시00분~19시00분","1","1","2","0","","25","40","40","0","","20241"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ed81-b044-e053-0a32095ab044","서울경인유치원","공립(단설)","임성혜","임성혜","20050930","20050930","서울특별시 양천구 안양천로 1009","02-2646-4906","http://www.서울경인유치원.com","07시30분~19시30분","1","2","2","0","1","14","23","35","0","5","20241"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ed82-b044-e053-0a32095ab044","서울공항초등학교병설유치원","공립(병설)","천종만","천종만","19920120","19920120","서울특별시 강서구 마곡서1로 68","02-2661-4560","https://konghang.sen.es.kr/","07시30분~19시30분","1","1","2","0","1","12","14","24","0","4","20241"
"서울특별시교육청","동부교육지원청","1ecec08c-ed83-b044-e053-0a32095ab044","새일문유치원","사립(사인)","민영재","심옥자","19841103","19841104","서울특별시 동대문구 장한로 165","02-2212-6229","http://cafe.naver.com/saeilmoon","09시00분~19시30분","","","","2","","","","","59","","20241"
