교육청명,교육지원청명,유치원코드,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,공시차수
서울특별시교육청,북부교육지원청,0c4bc461-9f36-4d28-94e3-3dfb9c6cd4e3,서울상계초등학교병설유치원,공립(병설),양인화,양인화,20170301,20170302,서울특별시 노원구 상계로9길 39,02-933-6888,https://sanggye.sen.es.kr,07시30분~19시30분,,1,1,0,,,2,10,0,,20241
서울특별시교육청,북부교육지원청,1ecec08c-ed86-b044-e053-0a32095ab044,한울유치원,사립(사인),김우신,김우신,20000110,20000224,서울특별시 노원구 덕릉로122길 12-6,02-935-3345,http:// www.hanulkid.co.kr,08시00분~17시00분,1,1,1,0,,6,6,14,0,,20212
서울특별시교육청,북부교육지원청,1ecec08c-ed88-b044-e053-0a32095ab044,효천유치원,사립(사인),강영철,구성옥,19800301,19800301,서울특별시 노원구 중계로18길 14,02-930-8891,http://hyochunkids.com/,07시50분~19시00분,1,2,1,0,,29,35,28,0,,20241
서울특별시교육청,북부교육지원청,1ecec08c-eed1-b044-e053-0a32095ab044,영은유치원,사립(사인),문동식,이헤경,20030403,19880314,서울특별시 노원구 동일로213길 78,02-932-1001,,07시00분~20시00분,1,1,1,0,,18,20,28,0,,20202
서울특별시교육청,북부교육지원청,1ecec08c-ef26-b044-e053-0a32095ab044,키즈위즈유치원,사립(사인),민중기,정혜은,20110113,20110113,서울특별시 노원구 덕릉로86길 65,02-930-5525,,08시00분~18시00분,1,1,1,0,,5,9,10,0,,20241
서울특별시교육청,북부교육지원청,1ecec08c-efcd-b044-e053-0a32095ab044,공릉 사라유치원,사립(사인),이복숙,김주리,19830303,19830303,서울특별시 노원구 동일로198가길 13,02-974-7766,http://cafe.naver.com/sarayouchwon,07시30분~19시00분,2,2,1,0,,25,22,29,0,,20241
서울특별시교육청,북부교육지원청,1ecec08c-efce-b044-e053-0a32095ab044,상원유치원,사립(사인),이우원,김종순,19890201,19910119,서울특별시 노원구 노원로19길 33,02-949-0217,,07시00분~19시00분,1,1,2,0,,19,20,34,0,,20241
서울특별시교육청,북부교육지원청,1ecec08c-efcf-b044-e053-0a32095ab044,서울수락초등학교병설유치원,공립(병설),조복주,조복주,20000115,20000301,서울특별시 노원구 동일로 1745,02-951-4146,https://surak.sen.es.kr/,07시30분~19시30분,1,1,1,0,1,3,5,7,0,5,20241
서울특별시교육청,북부교육지원청,1ecec08c-efd7-b044-e053-0a32095ab044,육사유치원,사립(사인),육군사관학교장,조희수,19900301,19950501,서울특별시 노원구 화랑로 564,02-972-0451,,07시30분~19시30분,1,1,1,0,,11,16,15,0,,20241
서울특별시교육청,북부교육지원청,1ecec08c-efd8-b044-e053-0a32095ab044,이레유치원,사립(사인),유광선,황민경,19951207,19951207,서울특별시 노원구 월계로55길 16,02-979-8293~4,http://jireh.kidis.co.kr/,09시00분~20시00분,,,,5,,,,,73,,20192
